prompt_id,shot,format,accuracy
1,1,text,1.0
1,1,markdown,1.0
1,1,yaml,0.9
1,1,json,0.25
2,1,text,1.0
2,1,markdown,0.9
2,1,yaml,0.9
2,1,json,0.12
3,1,text,0.3
3,1,markdown,0.8
3,1,yaml,0.7
3,1,json,0.9
4,1,text,0.8
4,1,markdown,0.9
4,1,yaml,0.9
4,1,json,0.3
5,1,text,0.9
5,1,markdown,0.7
5,1,yaml,0.9
5,1,json,0.6
6,1,text,1.0
6,1,markdown,1.0
6,1,yaml,1.0
6,1,json,0.9
7,1,text,1.0
7,1,markdown,0.89
7,1,yaml,0.9
7,1,json,1.0
8,1,text,0.62
8,1,markdown,0.8
8,1,yaml,0.9
8,1,json,0.6
9,1,text,0.1
9,1,markdown,0.2
9,1,yaml,0.1
9,1,json,0.3
10,1,text,0.9
10,1,markdown,1.0
10,1,yaml,0.6
10,1,json,0.7
